Winner,Wins,Film Name,Film ID,Film Slug,Film Link
alex s win,8,The Lost Boys,50987,the-lost-boys,https://letterboxd.com/film/the-lost-boys
alex s win,8,The Raid,78266,the-raid-2011,https://letterboxd.com/film/the-raid-2011
alex s win,8,Ginger Snaps,46762,ginger-snaps,https://letterboxd.com/film/ginger-snaps
alex s win,8,D.E.B.S.,51577,debs,https://letterboxd.com/film/debs
alex s win,8,Vampire's Kiss,48118,vampires-kiss,https://letterboxd.com/film/vampires-kiss
alex s win,8,Go,47167,go,https://letterboxd.com/film/go
alex s win,8,Dick,41581,dick,https://letterboxd.com/film/dick
alex s win,8,Slumber Party Massacre II,34222,slumber-party-massacre-ii,https://letterboxd.com/film/slumber-party-massacre-ii
stephen win,8,Indiana Jones and the Temple of Doom,51963,indiana-jones-and-the-temple-of-doom,https://letterboxd.com/film/indiana-jones-and-the-temple-of-doom
stephen win,8,"O Brother, Where Art Thou?",51917,o-brother-where-art-thou,https://letterboxd.com/film/o-brother-where-art-thou
stephen win,8,Monster House,47295,monster-house,https://letterboxd.com/film/monster-house
stephen win,8,The Beyond,39779,the-beyond,https://letterboxd.com/film/the-beyond
stephen win,8,Bad Lieutenant: Port of Call – New Orleans,45055,bad-lieutenant-port-of-call-new-orleans,https://letterboxd.com/film/bad-lieutenant-port-of-call-new-orleans
stephen win,8,Season of the Witch,37566,season-of-the-witch,https://letterboxd.com/film/season-of-the-witch
stephen win,8,The Covenant,46683,the-covenant,https://letterboxd.com/film/the-covenant
stephen win,8,Tux and Fanny,524405,tux-and-fanny,https://letterboxd.com/film/tux-and-fanny
ben k win,7,The Birdcage,45702,the-birdcage,https://letterboxd.com/film/the-birdcage
ben k win,7,The Last Detail,42738,the-last-detail,https://letterboxd.com/film/the-last-detail
ben k win,7,Babe: Pig in the City,47150,babe-pig-in-the-city,https://letterboxd.com/film/babe-pig-in-the-city
ben k win,7,Riki-Oh: The Story of Ricky,40991,riki-oh-the-story-of-ricky,https://letterboxd.com/film/riki-oh-the-story-of-ricky
ben k win,7,Croupier,44350,croupier,https://letterboxd.com/film/croupier
ben k win,7,All These Sleepless Nights,311785,all-these-sleepless-nights,https://letterboxd.com/film/all-these-sleepless-nights
ben k win,7,Hands on a Hardbody: The Documentary,40224,hands-on-a-hardbody-the-documentary,https://letterboxd.com/film/hands-on-a-hardbody-the-documentary
celina win,7,Romeo + Juliet,51647,romeo-juliet-1996,https://letterboxd.com/film/romeo-juliet-1996
celina win,7,They Live,47798,they-live,https://letterboxd.com/film/they-live
celina win,7,Death Becomes Her,47221,death-becomes-her,https://letterboxd.com/film/death-becomes-her
celina win,7,Withnail & I,43884,withnail-i,https://letterboxd.com/film/withnail-i
celina win,7,Plus One,437989,plus-one-2019,https://letterboxd.com/film/plus-one-2019
celina win,7,Slacker,43403,slacker,https://letterboxd.com/film/slacker
celina win,7,Jump In!,43444,jump-in,https://letterboxd.com/film/jump-in
emma win,7,The Texas Chain Saw Massacre,31985,the-texas-chain-saw-massacre,https://letterboxd.com/film/the-texas-chain-saw-massacre
