Film Title,Average Rating,Number of Ratings
the-lost-boys,7.75,8
the-raid-2011,7.75,8
ginger-snaps,7.25,4
debs,6.777777777777778,9
vampires-kiss,6.714285714285714,7
go,6.916666666666667,12
dick,8.6,5
slumber-party-massacre-ii,5.9,10
indiana-jones-and-the-temple-of-doom,7.5,8
o-brother-where-art-thou,8.0,10
monster-house,5.555555555555555,9
the-beyond,5.25,12
bad-lieutenant-port-of-call-new-orleans,5.1,10
season-of-the-witch,3.2,10
the-covenant,2.3333333333333335,6
tux-and-fanny,8.272727272727273,11
the-birdcage,8.23076923076923,13
the-last-detail,8.0,4
babe-pig-in-the-city,7.1,10
riki-oh-the-story-of-ricky,6.666666666666667,6
croupier,6.5,2
all-these-sleepless-nights,7.25,8
hands-on-a-hardbody-the-documentary,7.6,5
romeo-juliet-1996,6.363636363636363,11
they-live,7.5,12
death-becomes-her,6.461538461538462,13
withnail-i,7.538461538461538,13
plus-one-2019,7.5,6
slacker,5.888888888888889,9
jump-in,3.8,5
the-texas-chain-saw-massacre,8.181818181818182,11
atonement,8.818181818181818,11
gonjiam-haunted-asylum,8.333333333333334,9
the-runaways,4.4,5
clouds-of-sils-maria,6.2727272727272725,11
the-future,6.818181818181818,11
attack-of-the-50-ft-woman,4.0,9
the-matrix,9.285714285714286,14
the-iron-claw-2023,7.733333333333333,15
akira,8.333333333333334,9
paris-is-burning,9.454545454545455,11
a-knights-tale,8.0,11
encounters-at-the-end-of-the-world,7.75,4
aliens,8.583333333333334,12
ed-wood,8.4,5
from-beyond,6.5,4
american-movie,8.9,10
uhf,6.0,4
joe-versus-the-volcano,6.571428571428571,7
ratatouille,8.416666666666666,12
marcel-the-shell-with-shoes-on-2021,7.6,10
paranormal-activity,6.111111111111111,9
legend,5.9,10
scrapper-2023,7.666666666666667,9
dolls,6.0,4
the-fate-of-the-furious,4.5,14
to-wong-foo-thanks-for-everything-julie-newmar,8.0,7
mousehunt,6.625,8
drumline,5.888888888888889,9
beginners,8.2,10
charlies-angels-full-throttle,6.6,10
kedi-2016,8.333333333333334,12
cave-of-forgotten-dreams,6.857142857142857,7
christmas-in-connecticut,6.916666666666667,12
hedwig-and-the-angry-inch,8.25,8
victor-victoria,10.0,7
air-bud,6.285714285714286,7
parting-glances,7.333333333333333,3
sex-zen-extreme,1.75,4
big-night,9.25,8
innerspace,5.571428571428571,7
q-1982,5.6,5
starship-troopers,7.444444444444445,9
the-league-of-extraordinary-gentlemen,3.0833333333333335,12
grosse-pointe-blank,6.090909090909091,11
dog-day-afternoon,9.166666666666666,12
deep-red,7.0,5
teenage-mutant-ninja-turtles,5.857142857142857,7
mom-and-dad-2017,4.25,8
detroit-rock-city,5.666666666666667,6
brink,5.333333333333333,3
the-prestige,7.5,10
day-of-the-dead,6.222222222222222,9
monster-in-law,3.4285714285714284,7
hot-fuzz,8.090909090909092,11
touching-the-void,7.5,8
four-weddings-and-a-funeral,5.416666666666667,12
running-with-scissors,4.7272727272727275,11
the-royal-tenenbaums,8.5,12
before-midnight,8.545454545454545,11
inside-llewyn-davis,8.555555555555555,9
11-14,6.75,8
la-haine,9.076923076923077,13
lara-croft-tomb-raider,4.444444444444445,9
bound,9.0,3
harmagedon-1983,4.25,8
goodbye-dragon-inn,7.333333333333333,9
dogtooth,7.1,10
sorcerer,8.285714285714286,14
home-alone-2-lost-in-new-york,6.777777777777778,9
cats-dont-dance,4.714285714285714,7
but-im-a-cheerleader,7.846153846153846,13
cloudy-with-a-chance-of-meatballs,6.916666666666667,12
shirkers,8.2,10
playtime,9.307692307692308,13
funeral-parade-of-roses,7.571428571428571,7
